gene,logFC,logCPM,LR,PValue,FDR
ENSG00000259306.2,-3.53409999,-4.903255813,4.916031868,0.026608565,0.995853392
ENSG00000276524.1,-2.1043271,-4.315407625,4.709673502,0.029993347,0.995853392
ENSG00000182625.3,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000171956.7,-4.474313703,-4.581154048,8.983436733,0.002724378,0.995853392
ENSG00000278737.1,-4.275422012,-4.659397613,9.339189317,0.002243047,0.995853392
ENSG00000260773.1,-1.682353737,-3.993689349,5.116237774,0.023702952,0.995853392
ENSG00000277152.1,-4.459789042,-4.583098673,7.94743636,0.004815554,0.995853392
ENSG00000259645.1,-4.051980785,-4.735234956,4.42146742,0.035489504,0.995853392
ENSG00000175202.6,-2.562379989,-4.513604071,4.780198731,0.028788798,0.995853392
ENSG00000286696.1,-2.879028575,-4.378390091,8.27846599,0.004011801,0.995853392
ENSG00000259361.7,-2.084368084,-4.321006632,4.938767753,0.026260752,0.995853392
ENSG00000276710.5,-1.273411843,-3.445366447,4.526349163,0.033376749,0.995853392
ENSG00000260608.1,-2.113302399,-4.314746056,4.379967808,0.036363684,0.995853392
ENSG00000213471.10,-3.53409999,-4.903255813,4.916031868,0.026608565,0.995853392
ENSG00000259177.1,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000285661.1,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000185594.7,-1.149178865,-2.682982852,4.368264078,0.036614274,0.995853392
ENSG00000259579.1,-3.522291259,-4.904611197,4.888858374,0.027030554,0.995853392
ENSG00000279588.2,-3.481921499,-4.909873778,4.791532321,0.028599973,0.995853392
ENSG00000284395.2,-1.094752878,-2.777725396,3.874488685,0.049025241,0.995853392
ENSG00000261430.1,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000293423.1,-1.637442505,-3.658041934,6.462452328,0.011017749,0.995853392
ENSG00000276096.1,-2.107967905,-4.315980132,4.291522668,0.038302848,0.995853392
ENSG00000261056.2,-1.047053118,-3.018066575,4.202054722,0.04037503,0.995853392
ENSG00000261611.6,-2.390366475,-4.580234755,4.75702882,0.029178876,0.995853392
ENSG00000279591.1,-3.560549046,-4.899938097,4.980264172,0.025638068,0.995853392
ENSG00000284484.1,-1.571023791,-4.047186955,4.179611049,0.040913089,0.995853392
ENSG00000274134.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000268078.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000261692.1,-3.528186561,-4.903933651,4.902409885,0.026819244,0.995853392
ENSG00000280136.2,-2.563998721,-4.51612639,5.661197201,0.01734428,0.995853392
